               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,             0.04472,             0.04043,           0.0024904,             0.47456,             0.34543,             0.33533,             0.17044,            0.072875,            0.049341,           0.0078907,            0.004786,            0.004786,            0.004786
                  81,            0.042568,            0.037755,            0.002688,             0.31704,             0.39669,             0.32448,              0.1784,            0.069574,            0.051001,           0.0077315,             0.00472,             0.00472,             0.00472
                  82,            0.046701,            0.046179,           0.0020291,             0.35567,             0.41739,             0.32271,             0.16459,            0.066699,            0.050166,           0.0068129,            0.004654,            0.004654,            0.004654
                  83,            0.042482,            0.037482,           0.0020492,             0.46956,              0.3524,             0.35819,             0.17828,            0.067358,             0.04966,           0.0066934,            0.004588,            0.004588,            0.004588
                  84,            0.042887,            0.038694,           0.0029722,             0.38063,             0.34556,             0.32966,             0.16975,            0.067814,            0.050727,           0.0072831,            0.004522,            0.004522,            0.004522
                  85,            0.042458,            0.038891,           0.0017415,             0.32113,             0.38025,             0.30111,             0.14963,            0.070349,            0.050766,           0.0075337,            0.004456,            0.004456,            0.004456
                  86,            0.043117,            0.035945,            0.002538,             0.43476,              0.3517,             0.32547,             0.16294,            0.069582,            0.048316,           0.0074518,             0.00439,             0.00439,             0.00439
                  87,            0.042351,            0.037325,           0.0018089,             0.32139,             0.40082,             0.29683,             0.14903,            0.068456,            0.047713,           0.0077721,            0.004324,            0.004324,            0.004324
                  88,            0.043997,            0.040683,           0.0020877,             0.34326,             0.42951,             0.35049,             0.16816,            0.067404,            0.044651,           0.0076802,            0.004258,            0.004258,            0.004258
                  89,            0.044178,             0.04139,           0.0018978,             0.38457,             0.42138,             0.36595,             0.16411,            0.068845,            0.046743,           0.0070084,            0.004192,            0.004192,            0.004192
                  90,            0.040094,            0.032832,           0.0029803,             0.63799,             0.32726,             0.38334,             0.18498,            0.073604,            0.048216,           0.0075306,            0.004126,            0.004126,            0.004126
                  91,              0.0428,            0.039602,           0.0019692,             0.40208,             0.42433,              0.3775,               0.185,            0.071037,            0.048013,           0.0064905,             0.00406,             0.00406,             0.00406
                  92,            0.043187,            0.041256,           0.0021195,             0.39411,             0.39615,             0.36808,             0.19496,            0.070224,            0.048725,           0.0068649,            0.003994,            0.003994,            0.003994
                  93,            0.040667,            0.034626,           0.0017251,              0.4671,             0.40783,             0.40827,             0.20282,            0.067544,            0.043942,           0.0059722,            0.003928,            0.003928,            0.003928
                  94,             0.04177,            0.035078,           0.0019356,             0.56317,             0.37749,              0.4098,             0.20422,            0.068175,            0.043971,           0.0064467,            0.003862,            0.003862,            0.003862
                  95,             0.04362,            0.037411,           0.0025039,             0.41462,             0.44415,             0.38418,             0.19788,            0.070887,             0.04653,           0.0070986,            0.003796,            0.003796,            0.003796
                  96,            0.042373,            0.036292,           0.0020189,             0.39913,             0.39429,             0.35951,              0.1893,            0.072478,            0.048828,           0.0074652,             0.00373,             0.00373,             0.00373
                  97,            0.041007,            0.039649,           0.0020097,              0.3947,               0.405,             0.31248,             0.15652,            0.069646,            0.048532,           0.0070834,            0.003664,            0.003664,            0.003664
                  98,            0.036425,            0.032208,           0.0027726,             0.51709,             0.36237,             0.36397,             0.18887,            0.068751,            0.047858,           0.0063775,            0.003598,            0.003598,            0.003598
                  99,            0.040662,            0.039645,           0.0016718,             0.53916,             0.33545,             0.34608,             0.17094,            0.068323,            0.048145,           0.0069909,            0.003532,            0.003532,            0.003532
                 100,            0.039454,            0.035289,           0.0017331,             0.44439,             0.38172,             0.33174,             0.16325,            0.067959,            0.049147,           0.0064456,            0.003466,            0.003466,            0.003466
                 101,            0.041667,            0.037809,           0.0021637,             0.36332,              0.3889,             0.29006,             0.14088,            0.070741,            0.054025,           0.0059866,              0.0034,              0.0034,              0.0034
                 102,             0.03938,            0.035781,           0.0019539,             0.41513,             0.35325,             0.29333,             0.14295,             0.07189,            0.055088,           0.0058414,            0.003334,            0.003334,            0.003334
                 103,            0.040884,            0.037089,           0.0016286,             0.37593,             0.39198,             0.32454,             0.15412,            0.068577,            0.051613,           0.0055198,            0.003268,            0.003268,            0.003268
                 104,            0.041788,             0.04037,           0.0015003,             0.44634,             0.38501,             0.33154,              0.1509,            0.068447,            0.050846,           0.0055796,            0.003202,            0.003202,            0.003202
                 105,            0.039025,            0.031837,           0.0025309,             0.49146,             0.37201,             0.32673,              0.1541,            0.070094,            0.053786,           0.0063743,            0.003136,            0.003136,            0.003136
                 106,             0.03863,            0.036578,           0.0018583,             0.34923,             0.39284,             0.30436,             0.14359,            0.072272,            0.056113,            0.007439,             0.00307,             0.00307,             0.00307
                 107,            0.040686,            0.035921,           0.0019871,              0.3953,             0.36105,              0.2854,             0.14439,            0.071847,            0.055404,           0.0078981,            0.003004,            0.003004,            0.003004
                 108,            0.041967,            0.038155,           0.0014993,             0.33988,             0.37127,             0.29015,             0.14375,            0.071831,            0.054347,           0.0093637,            0.002938,            0.002938,            0.002938
                 109,            0.038585,            0.035499,           0.0014626,             0.39947,             0.34965,             0.32406,             0.17203,            0.070578,            0.052171,           0.0075842,            0.002872,            0.002872,            0.002872
                 110,            0.040722,            0.041321,           0.0017284,             0.35124,             0.39158,             0.35444,             0.17931,            0.068737,            0.050211,           0.0077345,            0.002806,            0.002806,            0.002806
                 111,            0.037819,            0.033358,            0.001865,             0.41165,             0.36104,             0.34431,             0.18174,            0.070327,            0.052168,           0.0075551,             0.00274,             0.00274,             0.00274
                 112,            0.039576,            0.034165,           0.0015124,             0.36534,             0.45242,             0.36749,             0.18695,            0.068319,            0.050127,           0.0072083,            0.002674,            0.002674,            0.002674
                 113,            0.042066,             0.03702,           0.0011744,             0.37635,             0.43958,             0.36158,             0.17898,            0.069889,            0.051372,           0.0060676,            0.002608,            0.002608,            0.002608
                 114,            0.042513,            0.038584,           0.0015149,             0.35482,               0.387,             0.33738,             0.16883,            0.070685,            0.052587,           0.0068173,            0.002542,            0.002542,            0.002542
                 115,            0.039584,            0.032178,            0.001456,             0.37285,             0.41901,             0.36029,             0.17615,            0.068118,            0.049928,           0.0063741,            0.002476,            0.002476,            0.002476
                 116,            0.041588,            0.041189,           0.0014226,              0.3972,             0.44674,             0.37126,             0.16943,            0.066376,            0.047765,           0.0058629,             0.00241,             0.00241,             0.00241
                 117,            0.041481,            0.040343,           0.0013771,             0.42087,             0.44422,              0.4005,             0.18303,            0.065422,            0.045972,           0.0052991,            0.002344,            0.002344,            0.002344
                 118,            0.042631,            0.042599,           0.0012056,             0.41992,             0.45276,             0.38926,             0.18649,            0.066311,            0.045969,           0.0053605,            0.002278,            0.002278,            0.002278
                 119,            0.042251,            0.042983,           0.0010726,             0.41617,             0.42785,             0.35866,             0.17632,            0.068045,            0.049205,           0.0058512,            0.002212,            0.002212,            0.002212
                 120,            0.037873,            0.028666,           0.0014617,             0.47842,             0.37772,             0.35334,             0.17721,            0.069318,            0.051294,           0.0057303,            0.002146,            0.002146,            0.002146
